Gene_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	0.396986444	1.004589945	2.917408335	0.344343277	0.730588142	NA
ENSG00000000419	41.11229292	-0.08848224	0.983435756	-0.089972568	0.928309014	0.972309788
ENSG00000000457	5.90678863	-1.195547745	1.220651333	-0.979434268	0.327365452	0.600755721
ENSG00000000460	10.3790873	1.001941032	0.763534331	1.31224097	0.189438842	0.448007285
ENSG00000000938	62.2160947	-1.745505461	0.579288251	-3.01318982	0.002585172	0.02590891
ENSG00000000971	0	0	0	0	1	NA
ENSG00000001036	56.6470209	-0.955320709	0.265609002	-3.596718107	0.000322257	0.005557676
ENSG00000001084	0.652119045	2.925562779	3.007935216	0.972614956	0.330744706	NA
ENSG00000001167	2.346187543	0.393527922	1.576581825	0.249608308	0.802890273	0.919270298
ENSG00000001460	3.7720428	-1.393269755	1.640907347	-0.849084963	0.395834017	0.662680865
ENSG00000001461	36.73249547	0.335879209	0.526548561	0.637888382	0.523546341	0.754750326
ENSG00000001497	10.63932	0.167548415	1.258119035	0.133173738	0.89405598	0.958710756
ENSG00000001561	1.786662715	1.047077698	1.720127115	0.608721117	0.542709308	0.768032854
ENSG00000001629	23.60798709	1.366311366	0.614638729	2.222950331	0.026219149	0.132973098
ENSG00000001631	27.14913475	0.488026037	0.763800652	0.638944254	0.522859198	0.754090253
ENSG00000002016	0.617016916	-1.467178917	2.307754614	-0.635760366	0.524932624	NA
ENSG00000002330	22.78036213	-0.940726443	0.367873187	-2.557203073	0.01055176	0.071342495
ENSG00000002549	51.11551065	-0.384670186	0.794078993	-0.484423073	0.628085647	0.822676877
ENSG00000002586	5374.953789	-0.338998118	0.217880831	-1.55588776	0.119734784	0.344077095
ENSG00000002822	13.8603088	-2.759723694	0.998061744	-2.765083132	0.005690829	0.046117094
ENSG00000002834	12.82179089	1.067429374	0.624943065	1.708042595	0.087628439	0.283844712
ENSG00000002919	12.54371898	1.000331682	1.041380623	0.960582192	0.336762286	0.610335329
ENSG00000002933	1.578962891	-2.455496967	2.511136566	-0.977842862	0.328152048	0.601103618
ENSG00000003056	86.25110667	0.206213812	0.497143289	0.414797538	0.678290122	0.853752224
ENSG00000003096	1.270646576	1.547656075	1.914435603	0.808413756	0.418852436	0.681537908
ENSG00000003147	4.52059259	3.457646205	1.000777733	3.454959168	0.000550376	0.00831068
ENSG00000003249	0.228614881	-0.976407788	3.021160598	-0.323189634	0.746551631	NA
ENSG00000003393	1.796445946	4.459435844	1.673760767	2.66432093	0.007714393	0.057174598
ENSG00000003400	1.363871242	-0.442224399	1.309142949	-0.337796877	0.735516264	0.883321494
