id	Sample_01	Sample_02	Sample_03	Sample_04	Sample_05	Sample_06	Sample_07	Sample_08	Sample_09	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18
class	Control	Control	Control	Control	Control	Control	Control	Control	Control	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs
ENSG00000000003						0	1.584962501			1								1
ENSG00000000419		6.22881869		4.087462841	7.118941073		6.64385619	6.554588852	7.569855608	4.584962501	4.700439718	7.285402219	4.321928095	1.584962501	4.087462841		4.584962501	3.807354922
ENSG00000000457	4.087462841	4.523561956				5.700439718	4.087462841		3.584962501		2.584962501		2.584962501		1.584962501		1.584962501	3.459431619
ENSG00000000460	2	2.584962501	2	3.321928095	0	4.64385619	4.392317423		4.754887502	2.584962501	2.807354922		4.087462841		4.459431619	3.459431619	3.906890596	4.392317423
ENSG00000000938	7.614709844	5	5.169925001	6.554588852	8.317412614	6.942514505	7.044394119	6.169925001	8.396604781	3.321928095	5.614709844		5.459431619	0	3	4.95419631	5.044394119	5.129283017
ENSG00000000971					5.807354922													
ENSG00000001036	6.768184325	6.768184325	6.768184325	6.087462841	6.686500527	7.209453366	6.95419631	6.087462841	6.977279923	4.321928095	4.95419631	5.727920455	4.807354922	4.584962501	5.727920455	4.169925001	3.459431619	5.087462841
ENSG00000001084									0	1							2	
ENSG00000001167					0	4.857980995			2.807354922	2.807354922	1.584962501		2.584962501				0	1.584962501
ENSG00000001460				4.700439718		5.087462841	0		0	0	2.321928095		2.584962501			2.321928095		
ENSG00000001461	5.554588852	2.807354922	5.882643049	4.95419631	5.285402219	5.554588852	6.044394119	6.044394119	6.022367813	4.584962501	6.189824559		6.022367813	2.321928095	4.392317423	4.247927513	5.614709844	5.426264755
ENSG00000001497		0		2.807354922		4.392317423	3.459431619	4.64385619	6.539158811		1.584962501	5.584962501	3.321928095	3.169925001				3.321928095
ENSG00000001561					3.459431619				3		2		1.584962501	0	0	3.169925001		
ENSG00000001629	3.906890596			4.857980995	5.285402219	2.584962501	4.247927513	5.209453366	4.523561956	4.807354922	3.700439718	4.321928095	4.321928095	4.087462841	4.700439718	5.169925001	3.700439718	5.977279923
ENSG00000001631	5	4.64385619	5.357552005	2.807354922		6.266786541	6.303780748		5.882643049	4.523561956	3.459431619		4.247927513	4.584962501	5.285402219	5.426264755	3.459431619	5.392317423
ENSG00000002016					3		1.584962501		2.584962501		0							0
ENSG00000002330	5.64385619	4.523561956	5.169925001	3.321928095	4.523561956	6.539158811	6.459431619	5.727920455	5.672425342	2.321928095	4	4.247927513	4.392317423	2.321928095	4.459431619	3.700439718	1	3.906890596
ENSG00000002549		6.189824559	4.392317423	6.906890596	6.672425342	7.14974712	6.894817763	0	7.569855608	6	6.087462841		5.459431619	1	5.523561956	3.807354922	4.807354922	6
ENSG00000002586	13.46722343	12.77458118	13.12250448	12.59618976	13.10574485	13.01541505	12.60848586	12.40540742	13.75759836	12.0891194	12.39553414	11.92851838	12.24495839	10.94251451	12.12250448	11.17804233	11.3140167	11.93221475
ENSG00000002587					2.321928095													
ENSG00000002822	3.906890596	5.614709844	5.285402219		5.584962501	2.807354922	6.554588852		6.475733431	0	3.321928095		2				1.584962501	3.459431619
ENSG00000002834	1.584962501	2.807354922		4.087462841	3.459431619	4.459431619	4.169925001	4	4	4.523561956	4.857980995		3.700439718	0	3.700439718	3.807354922	3.700439718	4.321928095
ENSG00000002919			2		5.392317423		5.754887502	4.64385619	2	3.169925001	3.169925001	5.906890596	2.807354922	3.700439718	2.584962501		2	2.321928095
ENSG00000002933				0	5.285402219				5.807354922				0				1	
ENSG00000003056	6.686500527	3.700439718	6.247927513	5.727920455	7.14974712	7.912889336	6.942514505	6.794415866	8.262094845	5.700439718	7.312882955		6.95419631	5.209453366	6.820178962	5.807354922	5.672425342	6.599912842
ENSG00000003096		2.584962501							0		2.321928095		1.584962501		1.584962501		1.584962501	
ENSG00000003147					2.584962501		0	1.584962501	0	3	3.169925001		1.584962501	1	1	4.087462841	0	4.321928095
ENSG00000003249			0		0		2		0									
ENSG00000003393									0	2.584962501	2		3.321928095			0	2	
ENSG00000003400					3.906890596	0	2.321928095	1.584962501	0	1.584962501	1		1		0			0
