Gene_ID	Group	ENSG00000000003	ENSG00000000005	ENSG00000000419	ENSG00000000457	ENSG00000000460	ENSG00000000938	ENSG00000000971	ENSG00000001036	ENSG00000001084	ENSG00000001167	ENSG00000001460	ENSG00000001461	ENSG00000001497	ENSG00000001561	ENSG00000001617	ENSG00000001626	ENSG00000001629	ENSG00000001630	ENSG00000001631
Control_1	Control	0	0	0	4.087462841	2	7.614709844	0	6.768184325	0	0	0	5.554588852	0	0	0	0	3.906890596	0	5
Control_2	Control	0	0	6.22881869	4.523561956	2.584962501	5	0	6.768184325	0	0	0	2.807354922	0	0	0	0	0	0	4.64385619
Control_3	Control	0	0	0	0	2	5.169925001	0	6.768184325	0	0	0	5.882643049	0	0	0	0	0	0	5.357552005
Control_4	Control	0	0	4.087462841	0	3.321928095	6.554588852	0	6.087462841	0	0	4.700439718	4.95419631	2.807354922	0	0	0	4.857980995	0	2.807354922
Control_5	Control	0	0	7.118941073	0	0	8.317412614	5.807354922	6.686500527	0	0	0	5.285402219	0	3.459431619	0	0	5.285402219	0	0
Control_6	Control	0	0	0	5.700439718	4.64385619	6.942514505	0	7.209453366	0	4.857980995	5.087462841	5.554588852	4.392317423	0	0	0	2.584962501	0	6.266786541
Control_7	Control	1.584962501	0	6.64385619	4.087462841	4.392317423	7.044394119	0	6.95419631	0	0	0	6.044394119	3.459431619	0	0	0	4.247927513	0	6.303780748
Control_8	Control	0	0	6.554588852	0	0	6.169925001	0	6.087462841	0	0	0	6.044394119	4.64385619	0	0	0	5.209453366	0	0
Control_9	Control	0	0	7.569855608	3.584962501	4.754887502	8.396604781	0	6.977279923	0	2.807354922	0	6.022367813	6.539158811	3	0	0	4.523561956	0	5.882643049
Lung_Tumor1	Lung_Tumor	1	0	4.584962501	0	2.584962501	3.321928095	0	4.321928095	1	2.807354922	0	4.584962501	0	0	0	0	4.807354922	0	4.523561956
Lung_Tumor2	Lung_Tumor	0	0	4.700439718	2.584962501	2.807354922	5.614709844	0	4.95419631	0	1.584962501	2.321928095	6.189824559	1.584962501	2	0	0	3.700439718	0	3.459431619
Lung_Tumor3	Lung_Tumor	0	0	7.285402219	0	0	0	0	5.727920455	0	0	0	0	5.584962501	0	0	0	4.321928095	0	0
Lung_Tumor4	Lung_Tumor	0	0	4.321928095	2.584962501	4.087462841	5.459431619	0	4.807354922	0	2.584962501	2.584962501	6.022367813	3.321928095	1.584962501	0	0	4.321928095	0	4.247927513
Lung_Tumor5	Lung_Tumor	0	0	1.584962501	0	0	0	0	4.584962501	0	0	0	2.321928095	3.169925001	0	0	0	4.087462841	0	4.584962501
Lung_Tumor6	Lung_Tumor	0	0	4.087462841	1.584962501	4.459431619	3	0	5.727920455	0	0	0	4.392317423	0	0	0	0	4.700439718	0	5.285402219
Lung_Tumor7	Lung_Tumor	0	0	0	0	3.459431619	4.95419631	0	4.169925001	0	0	2.321928095	4.247927513	0	3.169925001	0	0	5.169925001	0	5.426264755
Lung_Tumor8	Lung_Tumor	0	0	4.584962501	1.584962501	3.906890596	5.044394119	0	3.459431619	2	0	0	5.614709844	0	0	0	0	3.700439718	0	3.459431619
Lung_Tumor9	Lung_Tumor	1	0	3.807354922	3.459431619	4.392317423	5.129283017	0	5.087462841	0	1.584962501	0	5.426264755	3.321928095	0	0	0	5.977279923	0	5.392317423
